id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
6247,SUMU,large_airport,"Carrasco General Cesáreo L. Berisso International Airport",-34.835647,-56.026497,105,SA,Uruguay,UY,"Canelones Department",UY-CA,CA,"Ciudad de la Costa",1,SUMU,MVD,,,https://en.wikipedia.org/wiki/Carrasco_International_Airport,Montevideo,1275,2022-10-27T14:30:14+00:00
6246,SULS,medium_airport,"Capitan Corbeta CA Curbelo International Airport",-34.855099,-55.094299,95,SA,Uruguay,UY,"Maldonado Department",UY-MA,MA,"Punta del Este",1,SULS,PDP,,http://www.puntadeleste.aero/,https://en.wikipedia.org/wiki/Capitan_Corbeta_CA_Curbelo_International_Airport,,500,2024-06-09T20:10:48+00:00
32390,SUPE,small_airport,"El Jagüel / Punta del Este Airport",-34.909716,-54.920212,66,SA,Uruguay,UY,"Maldonado Department",UY-MA,MA,Maldonado,1,SUPE,,,,https://en.wikipedia.org/wiki/El_Jag%C3%BCel_Airport,,150,2024-05-18T23:28:54+00:00
6245,SUDU,medium_airport,"Santa Bernardina International Airport",-33.358898,-56.499199,305,SA,Uruguay,UY,"Durazno Department",UY-DU,DU,Durazno,0,SUDU,DZO,,,https://en.wikipedia.org/wiki/Santa_Bernardina_International_Airport,,475,2024-05-17T07:24:01+00:00
6248,SUSO,medium_airport,"Nueva Hesperides International Airport",-31.438499,-57.985298,187,SA,Uruguay,UY,"Salto Department",UY-SA,SA,Salto,0,SUSO,STY,,,https://en.wikipedia.org/wiki/Nueva_Hesperides_International_Airport,,275,2024-05-17T07:24:32+00:00
6244,SUAA,medium_airport,"Ángel S. Adami International Airport",-34.7892,-56.264702,174,SA,Uruguay,UY,"Montevideo Department",UY-MO,MO,Montevideo,0,SUAA,,,,https://en.wikipedia.org/wiki/%C3%81ngel_S._Adami_Airport,"Aeródromo de Melilla, Melilla Airport",250,2022-10-27T14:32:17+00:00
30868,SUCA,small_airport,"Colonia Laguna de Los Patos International Airport",-34.456402,-57.770599,66,SA,Uruguay,UY,"Colonia Department",UY-CO,CO,"Colonia del Sacramento",0,SUCA,CYR,,,https://en.wikipedia.org/wiki/Colonia_Airport,,50,2022-10-27T14:44:03+00:00
326528,UY-0013,small_airport,"Florida Aviation Center",-34.08392,-56.186665,188,SA,Uruguay,UY,"Florida Department",UY-FD,FD,Florida,0,SUFL,,,,,,50,2018-03-02T15:20:00+00:00
32240,SURV,small_airport,"Presidente General Don Oscar D. Gestido International Airport",-30.9746,-55.4762,712,SA,Uruguay,UY,"Rivera Department",UY-RV,RV,Rivera,0,SURV,RVY,,,https://en.wikipedia.org/wiki/Rivera_International_Airport,,50,2024-05-29T05:52:14+00:00
325615,SUCN,small_airport,"Aeroclub Canelones",-34.515153,-56.261384,98,SA,Uruguay,UY,"Canelones Department",UY-CA,CA,Canelones,0,SUCN,,,http://www.aeroclubcanelones.org.uy/sitio/,,,50,2017-11-26T10:26:27+00:00
